,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,popularity,genres
Kids,0.492,0.964,8,-3.475,1,0.0729,0.00046,0.00582,0.434,0.703,157.036,audio_features,6DS51W3CvxpUO3Z8XXfKok,spotify:track:6DS51W3CvxpUO3Z8XXfKok,https://api.spotify.com/v1/tracks/6DS51W3CvxpUO3Z8XXfKok,https://api.spotify.com/v1/audio-analysis/6DS51W3CvxpUO3Z8XXfKok,210160,4,41,"['alternative emo', 'canadian indie', 'canadian pop punk', 'canadian punk', 'indie punk', 'indie rock', 'toronto indie']"
Fool,0.511,0.436,9,-10.254,1,0.0409,0.301,7.12e-05,0.255,0.342,120.207,audio_features,2yOj1pyRC3NcvQyeZ3yAcL,spotify:track:2yOj1pyRC3NcvQyeZ3yAcL,https://api.spotify.com/v1/tracks/2yOj1pyRC3NcvQyeZ3yAcL,https://api.spotify.com/v1/audio-analysis/2yOj1pyRC3NcvQyeZ3yAcL,124022,4,54,"['art pop', 'bedroom pop', 'indie garage rock', 'indie pop', 'indie rock']"
Free At Last,0.311,0.984,6,-1.434,1,0.142,2.3e-05,0.0296,0.0836,0.351,179.175,audio_features,7vU3n9wMurBIid7tpNQuDm,spotify:track:7vU3n9wMurBIid7tpNQuDm,https://api.spotify.com/v1/tracks/7vU3n9wMurBIid7tpNQuDm,https://api.spotify.com/v1/audio-analysis/7vU3n9wMurBIid7tpNQuDm,154813,4,36,"['alternative emo', 'canadian indie', 'canadian pop punk', 'canadian punk', 'indie punk', 'indie rock', 'toronto indie']"
Yer Killin' Me,0.396,0.718,0,-6.794,0,0.0814,0.00217,0.00077,0.332,0.366,165.272,audio_features,79lzbYqczF4oLoOkxx9mHK,spotify:track:79lzbYqczF4oLoOkxx9mHK,https://api.spotify.com/v1/tracks/79lzbYqczF4oLoOkxx9mHK,https://api.spotify.com/v1/audio-analysis/79lzbYqczF4oLoOkxx9mHK,234535,4,58,"['alternative emo', 'indie garage rock']"
Morbid Stuff,0.448,0.921,1,-3.726,1,0.0591,0.000101,0.00197,0.238,0.498,160.959,audio_features,3m0qnzWWaKVTcZD5eiDIlE,spotify:track:3m0qnzWWaKVTcZD5eiDIlE,https://api.spotify.com/v1/tracks/3m0qnzWWaKVTcZD5eiDIlE,https://api.spotify.com/v1/audio-analysis/3m0qnzWWaKVTcZD5eiDIlE,164600,4,38,"['alternative emo', 'canadian indie', 'canadian pop punk', 'canadian punk', 'indie punk', 'indie rock', 'toronto indie']"
Scorpion Hill,0.289,0.853,3,-4.505,1,0.123,0.00064,0.000292,0.0951,0.158,142.795,audio_features,1KPPGmoQF9J3eA8IDjc71W,spotify:track:1KPPGmoQF9J3eA8IDjc71W,https://api.spotify.com/v1/tracks/1KPPGmoQF9J3eA8IDjc71W,https://api.spotify.com/v1/audio-analysis/1KPPGmoQF9J3eA8IDjc71W,308133,4,34,"['alternative emo', 'canadian indie', 'canadian pop punk', 'canadian punk', 'indie punk', 'indie rock', 'toronto indie']"
Too Dark,0.402,0.388,11,-7.412,1,0.0528,0.41,1.62e-06,0.175,0.347,82.782,audio_features,6so48MMmpvNnVW0SIJMhiP,spotify:track:6so48MMmpvNnVW0SIJMhiP,https://api.spotify.com/v1/tracks/6so48MMmpvNnVW0SIJMhiP,https://api.spotify.com/v1/audio-analysis/6so48MMmpvNnVW0SIJMhiP,163733,4,43,"['art pop', 'bedroom pop', 'indie garage rock', 'indie pop', 'indie rock']"
J'en ai plein mon cass,0.737,0.554,11,-6.279,0,0.0926,0.596,0.0,0.0915,0.614,131.289,audio_features,7oG3MWyTJHJJdSgy66hv2O,spotify:track:7oG3MWyTJHJJdSgy66hv2O,https://api.spotify.com/v1/tracks/7oG3MWyTJHJJdSgy66hv2O,https://api.spotify.com/v1/audio-analysis/7oG3MWyTJHJJdSgy66hv2O,217293,4,46,"['indie quebecois', 'pop quebecois']"
Rebound,0.554,0.143,2,-12.938,1,0.142,0.839,0.0,0.116,0.306,175.888,audio_features,2zJi8qsWRdj4NVCoa7S5Y0,spotify:track:2zJi8qsWRdj4NVCoa7S5Y0,https://api.spotify.com/v1/tracks/2zJi8qsWRdj4NVCoa7S5Y0,https://api.spotify.com/v1/audio-analysis/2zJi8qsWRdj4NVCoa7S5Y0,184446,4,27,['indie quebecois']
I Lost My Baby,0.662,0.436,9,-12.9,0,0.0651,0.853,0.0,0.0624,0.627,92.857,audio_features,4tSffeciMCcNIvITmh6QHP,spotify:track:4tSffeciMCcNIvITmh6QHP,https://api.spotify.com/v1/tracks/4tSffeciMCcNIvITmh6QHP,https://api.spotify.com/v1/audio-analysis/4tSffeciMCcNIvITmh6QHP,178293,4,46,"['indie quebecois', 'pop quebecois', 'rock quebecois']"
