,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,popularity,genres
Crier tout bas,0.528,0.808,0,-5.6,0,0.0662,0.313,0.00302,0.109,0.357,94.897,audio_features,1VwF28u7ORgQ9Z5Ld8B7Q1,spotify:track:1VwF28u7ORgQ9Z5Ld8B7Q1,https://api.spotify.com/v1/tracks/1VwF28u7ORgQ9Z5Ld8B7Q1,https://api.spotify.com/v1/audio-analysis/1VwF28u7ORgQ9Z5Ld8B7Q1,260653,4,45,"['french pop', 'nouvelle chanson francaise']"
Mécaniques générales,0.629,0.872,8,-6.232,1,0.0473,0.289,6.44e-05,0.0862,0.369,115.011,audio_features,2sfTvIxdSJYxStra93Weld,spotify:track:2sfTvIxdSJYxStra93Weld,https://api.spotify.com/v1/tracks/2sfTvIxdSJYxStra93Weld,https://api.spotify.com/v1/audio-analysis/2sfTvIxdSJYxStra93Weld,197813,4,1,['rock quebecois']
J'en ai plein mon cass,0.737,0.554,11,-6.279,0,0.0926,0.596,0.0,0.0915,0.614,131.289,audio_features,7oG3MWyTJHJJdSgy66hv2O,spotify:track:7oG3MWyTJHJJdSgy66hv2O,https://api.spotify.com/v1/tracks/7oG3MWyTJHJJdSgy66hv2O,https://api.spotify.com/v1/audio-analysis/7oG3MWyTJHJJdSgy66hv2O,217293,4,46,"['indie quebecois', 'pop quebecois']"
On va s'aimer encore,0.664,0.344,3,-9.667,1,0.0349,0.778,0.000425,0.157,0.297,113.775,audio_features,3rxHqfRwEgzGogEXZi8vRU,spotify:track:3rxHqfRwEgzGogEXZi8vRU,https://api.spotify.com/v1/tracks/3rxHqfRwEgzGogEXZi8vRU,https://api.spotify.com/v1/audio-analysis/3rxHqfRwEgzGogEXZi8vRU,258520,4,1,"['indie quebecois', 'rock quebecois']"
On My Own - Version française,0.552,0.827,2,-8.311,1,0.0336,0.0144,0.237,0.252,0.894,104.052,audio_features,1z0hz3RmFENGlHD5FLt7Ee,spotify:track:1z0hz3RmFENGlHD5FLt7Ee,https://api.spotify.com/v1/tracks/1z0hz3RmFENGlHD5FLt7Ee,https://api.spotify.com/v1/audio-analysis/1z0hz3RmFENGlHD5FLt7Ee,191027,4,21,['indie quebecois']
Dans la nuit,0.747,0.646,7,-8.327,1,0.0666,0.178,0.000224,0.0947,0.406,107.004,audio_features,0QULGIUvdNRiL0ckrgIX6S,spotify:track:0QULGIUvdNRiL0ckrgIX6S,https://api.spotify.com/v1/tracks/0QULGIUvdNRiL0ckrgIX6S,https://api.spotify.com/v1/audio-analysis/0QULGIUvdNRiL0ckrgIX6S,149827,4,34,"['french pop', 'nouvelle chanson francaise']"
goldfinger,0.456,0.523,11,-9.05,0,0.11,0.531,0.000289,0.117,0.168,165.909,audio_features,0LwWp5FY531wAmwDA8fGBN,spotify:track:0LwWp5FY531wAmwDA8fGBN,https://api.spotify.com/v1/tracks/0LwWp5FY531wAmwDA8fGBN,https://api.spotify.com/v1/audio-analysis/0LwWp5FY531wAmwDA8fGBN,222670,4,31,"['canadian contemporary r&b', 'indie electropop', 'montreal indie']"
Makeup,0.829,0.548,7,-7.184,0,0.242,0.222,9.84e-05,0.107,0.155,150.093,audio_features,21RgjCszrzZBePdEBDgubQ,spotify:track:21RgjCszrzZBePdEBDgubQ,https://api.spotify.com/v1/tracks/21RgjCszrzZBePdEBDgubQ,https://api.spotify.com/v1/audio-analysis/21RgjCszrzZBePdEBDgubQ,217600,4,46,"['hip hop quebecois', 'indie quebecois']"
Marine marchande,0.354,0.873,6,-5.485,1,0.119,0.00122,1.73e-06,0.18,0.315,152.165,audio_features,0SxoDa0XQBCBDvJIiCFKa9,spotify:track:0SxoDa0XQBCBDvJIiCFKa9,https://api.spotify.com/v1/tracks/0SxoDa0XQBCBDvJIiCFKa9,https://api.spotify.com/v1/audio-analysis/0SxoDa0XQBCBDvJIiCFKa9,265053,4,50,"['indie quebecois', 'rock quebecois']"
Fallait y aller,0.77,0.581,1,-7.478,1,0.215,0.0215,0.0,0.0858,0.69,96.001,audio_features,532Q7VFxt96LsQf7BjGGKM,spotify:track:532Q7VFxt96LsQf7BjGGKM,https://api.spotify.com/v1/tracks/532Q7VFxt96LsQf7BjGGKM,https://api.spotify.com/v1/audio-analysis/532Q7VFxt96LsQf7BjGGKM,196933,4,49,"['hip hop quebecois', 'pop quebecois', 'rap conscient', 'rap montrealais']"
