,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,popularity,genres
Our Deal,0.363,0.79,0,-5.592,1,0.0479,0.647,0.847,0.182,0.356,119.274,audio_features,5sMUxsgrcijUSoRmdlt28J,spotify:track:5sMUxsgrcijUSoRmdlt28J,https://api.spotify.com/v1/tracks/5sMUxsgrcijUSoRmdlt28J,https://api.spotify.com/v1/audio-analysis/5sMUxsgrcijUSoRmdlt28J,127933,4,0,"['indie pop', 'indie rock', 'indie surf', 'indietronica', 'la indie', 'metropopolis', 'noise pop', 'nu gaze']"
Requests,0.745,0.201,7,-16.66,1,0.0375,0.758,0.00017,0.094,0.32,78.06,audio_features,3yNMvyp8FhPkgwK6eZ4qrp,spotify:track:3yNMvyp8FhPkgwK6eZ4qrp,https://api.spotify.com/v1/tracks/3yNMvyp8FhPkgwK6eZ4qrp,https://api.spotify.com/v1/audio-analysis/3yNMvyp8FhPkgwK6eZ4qrp,184889,4,31,"['canadian folk', 'canadian indie', 'manitoba indie']"
Les dauphins et les licornes,0.281,0.5,0,-10.06,1,0.0324,0.189,7.17e-05,0.126,0.22,87.468,audio_features,0AK9ScuP3AYcZcUQP7wzZr,spotify:track:0AK9ScuP3AYcZcUQP7wzZr,https://api.spotify.com/v1/tracks/0AK9ScuP3AYcZcUQP7wzZr,https://api.spotify.com/v1/audio-analysis/0AK9ScuP3AYcZcUQP7wzZr,315168,4,0,"['indie quebecois', 'pop quebecois', 'rock quebecois']"
Jacksonville,0.597,0.445,5,-8.947,0,0.0324,0.361,0.000415,0.645,0.579,140.053,audio_features,1ZHLEKW4rXRaDJESAX7CR8,spotify:track:1ZHLEKW4rXRaDJESAX7CR8,https://api.spotify.com/v1/tracks/1ZHLEKW4rXRaDJESAX7CR8,https://api.spotify.com/v1/audio-analysis/1ZHLEKW4rXRaDJESAX7CR8,324720,4,47,"['baroque pop', 'chamber pop', 'freak folk', 'indie folk', 'singer-songwriter']"
I Like It,0.816,0.726,5,-3.998,0,0.129,0.099,0.0,0.372,0.65,136.048,audio_features,58q2HKrzhC3ozto2nDdN4z,spotify:track:58q2HKrzhC3ozto2nDdN4z,https://api.spotify.com/v1/tracks/58q2HKrzhC3ozto2nDdN4z,https://api.spotify.com/v1/audio-analysis/58q2HKrzhC3ozto2nDdN4z,253390,4,82,"['pop', 'pop rap', 'rap']"
Summer Friends (feat. Jeremih & Francis & The Lights),0.693,0.426,8,-12.476,1,0.302,0.675,1.03e-05,0.115,0.477,144.796,audio_features,2fl0B0OaXjWbjHCQFx2O8W,spotify:track:2fl0B0OaXjWbjHCQFx2O8W,https://api.spotify.com/v1/tracks/2fl0B0OaXjWbjHCQFx2O8W,https://api.spotify.com/v1/audio-analysis/2fl0B0OaXjWbjHCQFx2O8W,290316,4,60,"['chicago rap', 'conscious hip hop', 'hip hop', 'pop rap', 'rap']"
Harlem,0.768,0.497,7,-9.211,1,0.0429,0.0928,0.0,0.157,0.778,113.83,audio_features,6JumfGk4f9E5KLT086I75s,spotify:track:6JumfGk4f9E5KLT086I75s,https://api.spotify.com/v1/tracks/6JumfGk4f9E5KLT086I75s,https://api.spotify.com/v1/audio-analysis/6JumfGk4f9E5KLT086I75s,203760,4,47,"['classic soul', 'funk', 'motown', 'quiet storm', 'soul']"
The Weekend,0.487,0.366,8,-9.405,0,0.0531,0.241,0.0,0.126,0.161,68.191,audio_features,6gU9OKjOE7ghfEd55oRO57,spotify:track:6gU9OKjOE7ghfEd55oRO57,https://api.spotify.com/v1/tracks/6gU9OKjOE7ghfEd55oRO57,https://api.spotify.com/v1/audio-analysis/6gU9OKjOE7ghfEd55oRO57,272187,5,74,"['pop', 'pop rap', 'rap']"
Old Friends,0.488,0.555,4,-7.315,1,0.0398,0.41,0.0,0.494,0.375,147.88,audio_features,66q3yNMEO2tOsiFny1IPQW,spotify:track:66q3yNMEO2tOsiFny1IPQW,https://api.spotify.com/v1/tracks/66q3yNMEO2tOsiFny1IPQW,https://api.spotify.com/v1/audio-analysis/66q3yNMEO2tOsiFny1IPQW,207720,4,46,"['indie folk', 'indie rock', 'new jersey indie', 'small room']"
All I Want,0.678,0.444,6,-10.518,1,0.0326,0.725,0.0,0.121,0.786,141.262,audio_features,7jeSFewaQLq8t2x8OZFQxZ,spotify:track:7jeSFewaQLq8t2x8OZFQxZ,https://api.spotify.com/v1/tracks/7jeSFewaQLq8t2x8OZFQxZ,https://api.spotify.com/v1/audio-analysis/7jeSFewaQLq8t2x8OZFQxZ,214240,4,53,"['canadian folk', 'canadian singer-songwriter', 'folk', 'folk rock', 'lilith', 'mellow gold', 'pop rock', 'rock', 'singer-songwriter', 'traditional folk']"
